SEQUENCE_NUM,DEVICE_ID,ALERT_TYPE_ID,POLICY_ID,SIGNATURE_ID,BEGIN_TIME,END_TIME,HIT_COUNT,SRC_IP_ADDR,SRC_IP_ADDR_HIGH,SRC_PORT,DST_IP_ADDR,DST_IP_ADDR_HIGH,DST_PORT,VIRTUAL_SEGMENT_INDEX,PHYSICAL_PORT_IN,VLAN_TAG,SEVERITY_ID,PACKET_TRACE,DEVICE_TRACE_BUCKET,DEVICE_TRACE_BEGIN_SEQ,DEVICE_TRACE_END_SEQ,MESSAGE_PARMS,QUARANTINE_ACTION,FLOW_CONTROL,ACTION_SET_UUID,ACTION_SET_NAME,RATE_LIMIT_RATE,CLIENT_IP_ADDR,CLIENT_IP_ADDR_HIGH,XFF_IP_ADDR,XFF_IP_ADDR_HIGH,TCIP_IP_ADDR,TCIP_IP_ADDR_HIGH,URI_METHOD,URI_HOST,URI_STRING,SRC_USER_NAME,SRC_DOMAIN,SRC_MACHINE,DST_USER_NAME,DST_DOMAIN,DST_MACHINE
36259320,dc649d31-10bd-11e7-8f8b-d93a405adbc5,1,15f9454d-f227-4555-bce2-0a3e4ea1b1e2,00000001-0001-0001-0001-000000017056,1582149944,1582150004025,6,175906577,0,17297,220222744,0,443,20,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175906577,0,0,0,0,0,,,,,,,,,
144085713,a73afd1f-2217-11e3-a4dc-78acc0f2ed41,1,e307b833-214a-4d60-aea6-874a78007403,00000001-0001-0001-0001-000000012850,1582149104031,1582150004031,1,175707050,0,59857,175906806,0,22,203,26,0,1,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,Permit + Notify,0,175707050,0,0,0,0,0,,,,,,,,,
144085714,a73afd1f-2217-11e3-a4dc-78acc0f2ed41,1,26124332-21b2-4308-96c1-6622ae10fd65,00000001-0001-0001-0001-000000005601,1582149105031,1582150004031,1,175707050,0,59857,175906806,0,22,203,27,0,1,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,Permit + Notify,0,175707050,0,0,0,0,0,,,,,,,,,
267853856,e4993c7f-ce1d-11e6-b837-b05ada4eed7a,1,748a89f3-5c9b-4998-af78-e6b52b22a578,00000001-0001-0001-0001-000000017056,1582149928091,1582150004091,19,175798792,0,26683,3627729154,0,443,62,15,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,Permit + Notify,0,175798792,0,0,0,0,0,,,,,,,,,
267853857,e4993c7f-ce1d-11e6-b837-b05ada4eed7a,1,8300ee53-e0f3-4589-a21b-aed2cba5292f,00000001-0001-0001-0001-000000017056,1582149923091,1582150004091,2,175795609,0,49793,175798792,0,8080,86,39,10,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,Permit + Notify,0,175795609,0,0,0,0,0,,,,,,,,,
223301749,0036a850-10df-11e7-b47f-f8dc43e860d0,1,0743aeee-8078-44e4-9b01-011ce13e6a54,00000001-0001-0001-0001-000000017056,1582149893,1582150004156,1,175864331,0,26901,2899910338,0,443,4,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175864331,0,0,0,0,0,,,,,,,,,
223301750,0036a850-10df-11e7-b47f-f8dc43e860d0,1,0743aeee-8078-44e4-9b01-011ce13e6a54,00000001-0001-0001-0001-000000017056,1582150004,1582150004256,1,175864331,0,33655,878131195,0,443,4,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175864331,0,0,0,0,0,,,,,,,,,
223301751,0036a850-10df-11e7-b47f-f8dc43e860d0,1,0743aeee-8078-44e4-9b01-011ce13e6a54,00000001-0001-0001-0001-000000017056,1582150004,1582150004656,1,175864331,0,25071,2899905350,0,443,4,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175864331,0,0,0,0,0,,,,,,,,,
223301752,0036a850-10df-11e7-b47f-f8dc43e860d0,1,0743aeee-8078-44e4-9b01-011ce13e6a54,00000001-0001-0001-0001-000000017056,1582150004,1582150004756,1,175864331,0,35301,225151230,0,443,4,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175864331,0,0,0,0,0,,,,,,,,,
73544616,3da1ecaa-2380-11e7-add1-ec8147b19acd,1,b94922ea-c615-4377-a0b7-d1aeb9f3613b,00000001-0001-0001-0001-000000017056,1582149928,1582150004781,3,175767561,0,35515,400787867,0,443,44,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175767561,0,0,0,0,0,,,,,,,,,
73544617,3da1ecaa-2380-11e7-add1-ec8147b19acd,1,a069d3f6-ff68-452c-8d08-b79881cba98e,00000001-0001-0001-0001-000000011174,1582149944,1582150004881,11,175773728,0,39676,3475267338,0,443,44,3,0,1,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175773728,0,0,0,0,0,,,,,,,,,
223301753,0036a850-10df-11e7-b47f-f8dc43e860d0,1,0743aeee-8078-44e4-9b01-011ce13e6a54,00000001-0001-0001-0001-000000017056,1582149679,1582150004956,1,175864331,0,32151,317426188,0,443,4,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175864331,0,0,0,0,0,,,,,,,,,
893600,439cba3f-10df-11e7-ba97-d23349c17dae,2,4b74a625-538c-405f-9222-cdb72a6d2667,00000001-0001-0001-0001-000000028469,1582150005,1582150005101,1,175848289,0,53631,175864080,0,59533,15,7,700,2,0,0,0,0, , ,Block,3ab8eea0-4331-11d6-b47a-00a0c995f27f,,0,175848289,0,0,0,0,0,,,,,,,,,
223301754,0036a850-10df-11e7-b47f-f8dc43e860d0,1,0743aeee-8078-44e4-9b01-011ce13e6a54,00000001-0001-0001-0001-000000017056,1582150005,1582150005256,1,175873185,0,44684,2899909732,0,443,4,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175873185,0,0,0,0,0,,,,,,,,,
36259321,dc649d31-10bd-11e7-8f8b-d93a405adbc5,1,99e62ada-a7c8-4156-825a-92b9efba7683,00000001-0001-0001-0001-000000012850,1582150005,1582150005324,1,175707050,0,59857,175906806,0,22,17,2,0,1,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175707050,0,0,0,0,0,,,,,,,,,
223301755,0036a850-10df-11e7-b47f-f8dc43e860d0,1,0743aeee-8078-44e4-9b01-011ce13e6a54,00000001-0001-0001-0001-000000017056,1582150005,1582150005356,1,175864331,0,23691,2649756451,0,443,4,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175864331,0,0,0,0,0,,,,,,,,,
36259322,dc649d31-10bd-11e7-8f8b-d93a405adbc5,1,3e72b67e-e00f-4bf7-aae0-3ed56c9019b7,00000001-0001-0001-0001-000000005601,1582150005,1582150005425,1,175707050,0,59857,175906806,0,22,17,1,0,1,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175707050,0,0,0,0,0,,,,,,,,,
223301756,0036a850-10df-11e7-b47f-f8dc43e860d0,1,0743aeee-8078-44e4-9b01-011ce13e6a54,00000001-0001-0001-0001-000000017056,1582150005,1582150005856,1,175864331,0,17143,398643287,0,443,4,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175864331,0,0,0,0,0,,,,,,,,,
7427694,bf99c801-2389-11e7-b286-c8e1290defa4,1,ef68712f-15a1-4ee7-b087-ccedfb015b5a,00000001-0001-0001-0001-000000005601,1582149906,1582150005937,2,176817846,0,49382,175772679,0,22,33,1,0,1,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,176817846,0,0,0,0,0,,,,,,,,,
7427695,bf99c801-2389-11e7-b286-c8e1290defa4,1,86fee0dd-7212-4896-8938-0e45d6459bb9,00000001-0001-0001-0001-000000012850,1582149906,1582150005937,2,176817846,0,49382,175772679,0,22,33,2,0,1,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,176817846,0,0,0,0,0,,,,,,,,,
